@relation sentiment_without_arg4

@attribute s1 real
@attribute s2 real
@attribute s3 {P, N, O}
@attribute s5 {P, N, O}
@attribute human {P, N, O}



@data
1.0,3.8,P,O,P
1.0,1.445,P,O,P
1.0,3.0,P,O,P
0,0.0,O,O,P
1.0,3.0,P,O,P
1.0,3.0,P,O,P
1,2.5,N,O,P
1.0,2.5,P,O,P
1.0,2.5,P,O,P
1.0,2.5,P,O,P
1.0,2.5,P,O,P
1.0,2.5,P,O,P
1.0,2.5,P,O,P
1.0,2.5,P,O,P
2,3.15,N,O,P
1.0,3.0,P,O,P
1.0,3.0,P,O,P
1.0,2.5,P,O,P
1.0,4.05,P,P,P
1.0,2.5,P,P,P
1.0,2.5,P,P,P
1.0,2.5,P,O,P
1.0,2.5,P,O,P
2,2.5,O,P,P
1.0,2.13,P,O,P
1.0,2.5,P,O,P
1.0,2.5,P,O,P
1.0,3.13333333333,P,P,P
1.0,1.916,P,O,P
1.0,1.475,P,O,P
1.0,3.8,P,O,P
1.0,2.5625,P,O,P
1,0.0,P,P,P
1.0,2.93333333333,P,O,P
1.0,2.5,P,O,P
1.0,2.5,P,O,P
1.0,2.5,P,O,P
1.0,3.4,P,O,P
1.0,2.5,P,O,P
1.0,2.5,P,O,P
2,2.5,N,O,P
1,1.47,N,O,P
1.0,1.77,P,O,P
1.0,2.75,P,O,P
1.0,0.25,P,O,P
1.0,0.25,P,O,P
1.0,3.15,P,P,P
1.0,0.13,P,O,P
1.0,0.13,P,O,P
1,2.5,N,O,P
1.0,2.5,P,O,P
1.0,3.8,P,O,P
1.0,2.5,P,O,P
1.0,1.73,P,O,P
0,2.5,N,O,P
0,2.5,N,O,P
0,2.5,N,O,P
0,2.5,N,O,P
0,2.5,N,O,P
1.0,2.5,P,O,P
1.0,2.5,P,O,P
1.0,3.4,P,O,P
0,2.5,N,O,P
1.0,3.45,P,O,P
1.0,2.5,P,O,P
1.0,2.5,P,O,P
1.0,1.645,P,O,P
1.0,3.89,P,O,P
1.0,2.5,P,O,P
1.0,2.5,P,O,P
1.0,1.0,P,O,P
1.0,1.0,P,O,P
1.0,4.4,P,O,P
1.0,2.5,P,O,P
1.0,4.3,P,O,P
1.0,4.3,P,O,P
1.0,1.43333333333,P,P,P
-1.0,-2.5,N,O,P
1.0,3.76666666667,P,O,P
