@relation sentiment_with_arg4

@attribute s1 real
@attribute s2 real
@attribute s3 {P, N, O}
@attribute s4 {P, N, O}
@attribute s5 {P, N, O}
@attribute human {P, N, O}



@data
1.0,3.8,P,O,O,P
1.0,1.445,P,P,O,P
1.0,3.0,P,O,O,P
0,0.0,O,N,O,P
1.0,3.0,P,P,O,P
1.0,3.0,P,P,O,P
1,2.5,N,P,O,P
1.0,2.5,P,P,O,P
1.0,2.5,P,P,O,P
1.0,2.5,P,P,O,P
1.0,2.5,P,P,O,P
1.0,2.5,P,P,O,P
1.0,2.5,P,P,O,P
1.0,2.5,P,P,O,P
2,3.15,N,P,O,P
1.0,3.0,P,P,O,P
1.0,3.0,P,P,O,P
1.0,2.5,P,P,O,P
1.0,4.05,P,P,P,P
1.0,2.5,P,P,P,P
1.0,2.5,P,P,P,P
1.0,2.5,P,O,O,P
1.0,2.5,P,O,O,P
2,2.5,O,O,P,P
1.0,2.13,P,O,O,P
1.0,2.5,P,P,O,P
1.0,2.5,P,P,O,P
1.0,3.13333333333,P,N,P,P
1.0,1.916,P,P,O,P
1.0,1.475,P,P,O,P
1.0,3.8,P,P,O,P
1.0,2.5625,P,P,O,P
1,0.0,P,P,P,P
1.0,2.93333333333,P,P,O,P
1.0,2.5,P,O,O,P
1.0,2.5,P,O,O,P
1.0,2.5,P,O,O,P
1.0,3.4,P,P,O,P
1.0,2.5,P,P,O,P
1.0,2.5,P,O,O,P
2,2.5,N,P,O,P
1,1.47,N,P,O,P
1.0,1.77,P,P,O,P
1.0,2.75,P,P,O,P
1.0,0.25,P,N,O,P
1.0,0.25,P,N,O,P
1.0,3.15,P,P,P,P
1.0,0.13,P,P,O,P
1.0,0.13,P,P,O,P
1,2.5,N,P,O,P
1.0,2.5,P,P,O,P
1.0,3.8,P,P,O,P
1.0,2.5,P,P,O,P
1.0,1.73,P,P,O,P
0,2.5,N,P,O,P
0,2.5,N,P,O,P
0,2.5,N,P,O,P
0,2.5,N,P,O,P
0,2.5,N,P,O,P
1.0,2.5,P,P,O,P
1.0,2.5,P,P,O,P
1.0,3.4,P,P,O,P
0,2.5,N,P,O,P
1.0,3.45,P,P,O,P
1.0,2.5,P,P,O,P
1.0,2.5,P,P,O,P
1.0,1.645,P,P,O,P
1.0,3.89,P,P,O,P
1.0,2.5,P,O,O,P
1.0,2.5,P,P,O,P
1.0,1.0,P,P,O,P
1.0,1.0,P,P,O,P
1.0,4.4,P,P,O,P
1.0,2.5,P,P,O,P
1.0,4.3,P,P,O,P
1.0,4.3,P,P,O,P
1.0,1.43333333333,P,N,P,P
-1.0,-2.5,N,N,O,P
1.0,3.76666666667,P,P,O,P
1.0,3.65,P,P,P,P
1.0,2.548,P,O,O,P
1.0,1.375,P,P,O,P
1.0,2.5,P,P,O,P
1.0,3.45,P,P,O,P
1.0,2.5,P,P,O,P
1.0,1.375,P,P,O,P
1.0,2.5,P,P,O,P
1.0,0.833333333333,P,P,O,P
1.0,1.81666666667,P,P,O,P
1.0,2.75,P,P,O,P
1,2.5,N,P,O,P
1.0,2.11,P,P,O,P
1.0,2.5,P,O,O,P
1.0,2.5,P,P,O,P
1.0,3.0,P,P,O,P
1,2.5,N,P,O,P
1,2.5,N,P,O,P
1.0,3.8,P,P,O,P
1,2.5,N,P,O,O
1,2.5,N,P,O,O
1.0,2.5,P,P,O,P
1,2.5,N,P,O,P
1.0,4.4,P,P,P,P
0,3.8,N,N,O,P
1,2.5,N,P,O,P
1,2.5,N,P,O,P
1.0,2.5,P,P,O,P
1.0,4.4,P,P,O,P
1,2.5,N,P,O,P
1.0,4.4,P,P,O,P
1,2.5,N,P,O,P
1,2.5,N,P,O,P
1.0,2.5,P,P,O,P
1.0,2.5,P,P,O,P
1,1.475,N,P,O,P
1.0,0.833333333333,P,O,O,P
1.0,2.5,P,O,O,P
2,2.5,N,P,O,P
1.0,0.833333333333,P,O,O,P
1,0,N,P,O,P
